subject,roi,phase,condition,beta
18,amyg_bla,baseline,CS-,8.305946371930895
18,amyg_bla,extinction,CS+,4.767405558988479
18,amyg_bla,extinction,CS-,0.14455919634841435
18,amyg_cem,acquisition,CS+,-29.18121338329005
18,amyg_cem,acquisition,CS-,47.931197618284834
18,amyg_cem,baseline,CS+,8.920881623153532
18,amyg_cem,baseline,CS-,16.24266318043675
18,amyg_cem,extinction,CS+,9.848983138649151
18,amyg_cem,extinction,CS-,27.4380693616977
18,hc_body,acquisition,CS+,-4.702914611242232
18,hc_body,acquisition,CS-,9.631691877612873
18,hc_body,baseline,CS+,-0.7108473884809922
18,hc_body,baseline,CS-,-1.814648293528179
18,hc_body,extinction,CS+,1.5155043016556045
18,hc_body,extinction,CS-,-5.227581377036494
18,hc_tail,acquisition,CS+,-8.907758329655714
18,hc_tail,acquisition,CS+,-8.907758329655714
18,hc_tail,acquisition,CS-,14.710261086738386
18,hc_tail,acquisition,CS-,14.710261086738386
18,hc_tail,baseline,CS+,1.9882230856275374
18,hc_tail,baseline,CS+,1.9882230856275374
18,hc_tail,baseline,CS-,-8.298349265009165
18,hc_tail,baseline,CS-,-8.298349265009165
18,hc_tail,extinction,CS+,5.262494188177493
18,hc_tail,extinction,CS+,5.262494188177493
18,hc_tail,extinction,CS-,6.552972470402949
18,hc_tail,extinction,CS-,6.552972470402949
19,amyg_bla,acquisition,CS+,-15.434158849343344
19,amyg_bla,acquisition,CS-,-11.534469442035977
19,amyg_bla,baseline,CS+,-15.970973937593476
19,amyg_bla,baseline,CS-,-7.96225144443814
19,amyg_bla,extinction,CS+,-12.832918624465764
19,amyg_bla,extinction,CS-,-21.88497637287535
19,amyg_cem,acquisition,CS+,-16.65249690588783
19,amyg_cem,acquisition,CS-,-7.3604920963373255
19,amyg_cem,baseline,CS+,-2.9825292404412345
19,amyg_cem,baseline,CS-,-9.980359607305395
19,amyg_cem,extinction,CS+,-24.481997217024293
19,amyg_cem,extinction,CS-,-13.994850462247783
19,hc_body,acquisition,CS+,-22.225795323319357
19,hc_body,acquisition,CS-,-18.12409121882503
19,hc_body,baseline,CS+,-18.706128259061202
19,hc_body,baseline,CS-,-28.4417651983474
19,hc_body,extinction,CS+,-18.108833676946443
19,hc_body,extinction,CS-,-19.12993246623976
19,hc_tail,acquisition,CS+,-0.48395701058864316
19,hc_tail,acquisition,CS+,-0.48395701058864316
19,hc_tail,acquisition,CS-,-2.946969879989478
19,hc_tail,acquisition,CS-,-2.946969879989478
19,hc_tail,baseline,CS+,-0.3963961788815343
19,hc_tail,baseline,CS+,-0.3963961788815343
19,hc_tail,baseline,CS-,-10.465105897988435
19,hc_tail,baseline,CS-,-10.465105897988435
19,hc_tail,extinction,CS+,3.878876485689371
19,hc_tail,extinction,CS+,3.878876485689371
19,hc_tail,extinction,CS-,0.9926196949521976
19,hc_tail,extinction,CS-,0.9926196949521976
20,amyg_bla,acquisition,CS+,-4.172577511780369
20,amyg_bla,acquisition,CS-,-31.164751548645697
20,amyg_bla,baseline,CS+,-17.24232530703363
20,amyg_bla,baseline,CS-,-21.547587897750407
20,amyg_bla,extinction,CS+,-13.963350300165214
20,amyg_bla,extinction,CS-,-29.205296550560742
20,amyg_cem,acquisition,CS+,-19.682335658269302
20,amyg_cem,acquisition,CS-,-23.24427966609066
20,amyg_cem,baseline,CS+,7.222380597745219
20,amyg_cem,baseline,CS-,7.351632074992274
