group,memory_phase,roi,condition,el,subject,rsa
healthy,encoding,A32sg,CS-,early,16,0.13000874593282086
healthy,encoding,A32sg,CS-,early,17,-0.00680698911030025
healthy,encoding,A32sg,CS-,early,18,0.03217048830798148
healthy,encoding,A32sg,CS-,early,19,-0.02846469689439925
healthy,encoding,A32sg,CS-,early,21,0.01874926546398761
healthy,encoding,A32sg,CS-,early,23,0.06746604246196418
healthy,encoding,A32sg,CS-,early,24,0.2639799408697252
healthy,encoding,A32sg,CS-,early,25,0.022632659349659398
healthy,encoding,A32sg,CS-,early,26,0.22760733957105972
healthy,encoding,A32p,CS-,early,1,0.08524576093119683
healthy,encoding,A32p,CS-,early,2,0.028108293878558527
healthy,encoding,A32p,CS-,early,3,-0.0017050346067540637
healthy,encoding,A32p,CS-,early,4,-0.03047284464047992
healthy,encoding,A32p,CS-,early,5,0.003985048533739018
healthy,encoding,A32p,CS-,early,6,0.01727259880990928
healthy,encoding,A32p,CS-,early,7,0.060954435735356687
healthy,encoding,A32p,CS-,early,8,0.07023877353022547
healthy,encoding,A32p,CS-,early,9,0.044203140899728335
healthy,encoding,A32p,CS-,early,10,0.14996308406281414
healthy,encoding,A32p,CS-,early,12,0.032991351595287474
healthy,encoding,A32p,CS-,early,13,0.41039126303301576
healthy,encoding,A32p,CS-,early,14,0.15605812753888357
healthy,encoding,A32p,CS-,early,15,0.03868867608475325
healthy,encoding,A32p,CS-,early,16,0.04351053087392917
healthy,encoding,A32p,CS-,early,17,0.020517111087465418
healthy,encoding,A32p,CS-,early,18,0.04664453263168902
healthy,encoding,A32p,CS-,early,19,0.5474407956550872
healthy,encoding,A32p,CS-,early,21,-0.0015858430207605927
healthy,encoding,A32p,CS-,early,23,0.10012517580729052
healthy,encoding,A32p,CS-,early,24,0.13975131930854573
healthy,encoding,A32p,CS-,early,25,0.022178548068875894
healthy,encoding,A32p,CS-,early,26,0.11455468254050112
healthy,encoding,A24cd,CS-,early,1,0.11129499699154705
healthy,encoding,A24cd,CS-,early,2,0.04200909536343259
healthy,encoding,A24cd,CS-,early,3,0.02561755559212768
healthy,encoding,A24cd,CS-,early,4,0.054572662808091484
healthy,encoding,A24cd,CS-,early,5,0.10498758038157945
healthy,encoding,A24cd,CS-,early,6,0.006220263865550478
healthy,encoding,A24cd,CS-,early,7,0.07369181221636993
healthy,encoding,A24cd,CS-,early,8,0.187774639814447
healthy,encoding,A24cd,CS-,early,9,0.019122085168185067
healthy,encoding,A24cd,CS-,early,10,0.0842931030724942
healthy,encoding,A24cd,CS-,early,12,0.10299445648234254
healthy,encoding,A24cd,CS-,early,13,0.366467352229295
healthy,encoding,A24cd,CS-,early,14,0.05708979367177337
healthy,encoding,A24cd,CS-,early,15,0.04771519156470998
healthy,encoding,A24cd,CS-,early,16,0.31932446232260353
healthy,encoding,A24cd,CS-,early,17,0.10435088497323039
healthy,encoding,A24cd,CS-,early,18,0.05149015797887613
healthy,encoding,A24cd,CS-,early,19,0.8895586580180788
healthy,encoding,A24cd,CS-,early,21,-0.009818517417580025
healthy,encoding,A24cd,CS-,early,23,0.06432962489942079
healthy,encoding,A24cd,CS-,early,24,0.09852030285272467
healthy,encoding,A24cd,CS-,early,25,0.12868622320133893
healthy,encoding,A24cd,CS-,early,26,0.11722497067664284
healthy,encoding,A24rv,CS-,early,1,0.026266211933484558
healthy,encoding,A24rv,CS-,early,2,0.06000863751639044
healthy,encoding,A24rv,CS-,early,3,0.02591189088409912
healthy,encoding,A24rv,CS-,early,4,0.1992576962101899
healthy,encoding,A24rv,CS-,early,5,0.04534522525037463
healthy,encoding,A24rv,CS-,early,6,0.10538606559677488
healthy,encoding,A24rv,CS-,early,7,0.0427677233032033
healthy,encoding,A24rv,CS-,early,8,0.04273430911274779
healthy,encoding,A24rv,CS-,early,9,0.17117412365723533
healthy,encoding,A24rv,CS-,early,10,0.02231556549149754
healthy,encoding,A24rv,CS-,early,12,0.2131457593072884
healthy,encoding,A24rv,CS-,early,13,0.07648866889630372
healthy,encoding,A24rv,CS-,early,14,0.09391405792048967
healthy,encoding,A24rv,CS-,early,15,0.0018441580505471672
healthy,encoding,A24rv,CS-,early,16,-0.004888639237638026
healthy,encoding,A24rv,CS-,early,17,0.06604452994810316
healthy,encoding,A24rv,CS-,early,18,-0.005045925568580612
healthy,encoding,A24rv,CS-,early,19,0.06438851052702814
healthy,encoding,A24rv,CS-,early,21,0.05988675641410272
healthy,encoding,A24rv,CS-,early,23,-0.0025215658269609606
healthy,encoding,A24rv,CS-,early,24,0.05665737641483695
healthy,encoding,A24rv,CS-,early,25,0.014829758290630185
healthy,encoding,A24rv,CS-,early,26,0.015388649668447489
healthy,encoding,A14m,CS-,early,1,0.022506017169009955
healthy,encoding,A14m,CS-,early,2,0.00642496480520283
healthy,encoding,A14m,CS-,early,3,0.013317055915964675
