"","phase","group","hc_tail_ers","yvar","SE","df","LCL","UCL","tvar","xvar"
"139","acquisition","ptsd",0.14,-0.0679543110191516,0.0444098903343876,Inf,-0.154996096631925,0.0190874745936216,"acquisition ptsd",0.14
"140","extinction","ptsd",0.14,0.00236984957400176,0.0447386041870104,Inf,-0.0853162033511315,0.090055902499135,"extinction ptsd",0.14
"141","acquisition","healthy",0.15,-0.0207166683611986,0.0446821321587444,Inf,-0.108292038144797,0.0668587014223993,"acquisition healthy",0.15
"142","extinction","healthy",0.15,-0.0160295777704618,0.0451214635345916,Inf,-0.104466021227999,0.0724068656870751,"extinction healthy",0.15
"143","acquisition","ptsd",0.15,-0.069221791028361,0.0444729789064376,Inf,-0.156387227970188,0.0179436459134663,"acquisition ptsd",0.15
"144","extinction","ptsd",0.15,0.00157507278908999,0.0448246442898133,Inf,-0.0862796156387631,0.0894297612169431,"extinction ptsd",0.15
"145","acquisition","healthy",0.16,-0.0201938868058557,0.0447756373196941,Inf,-0.107952523337284,0.0675647497255722,"acquisition healthy",0.16
"146","extinction","healthy",0.16,-0.0168985130678278,0.0452458519972682,Inf,-0.105578753432303,0.0717817272966476,"extinction healthy",0.16
"147","acquisition","ptsd",0.16,-0.0704892710375704,0.0445426174070691,Inf,-0.157791196932573,0.016812654857432,"acquisition ptsd",0.16
"148","extinction","ptsd",0.16,0.000780296004178224,0.0449167481732538,Inf,-0.0872549127180544,0.0888155047264109,"extinction ptsd",0.16
"149","acquisition","healthy",0.17,-0.0196711052505128,0.0448765142222639,Inf,-0.10762745687785,0.0682852463768239,"acquisition healthy",0.17
"150","extinction","healthy",0.17,-0.0177674483651937,0.045377321416557,Inf,-0.106705364056543,0.071170467326156,"extinction healthy",0.17
"151","acquisition","ptsd",0.17,-0.0717567510467798,0.0446187751680009,Inf,-0.159207943410352,0.015694441316792,"acquisition ptsd",0.17
"152","extinction","ptsd",0.17,-1.4480780733545e-05,0.0450148786164707,Inf,-0.0882420216374583,0.0882130600759912,"extinction ptsd",0.17
"153","acquisition","healthy",0.18,-0.0191483236951699,0.0449847132737368,Inf,-0.107316741566555,0.0690200941762151,"acquisition healthy",0.18
